municipality,girls_perc,boys_perc,year,latitude,longitude,pop_2020
Bollnäs,3.1,6.9,2020,61.33001224489791,16.44245306122449,26809
Borås,0.9,2.8,2016,57.72441790123456,12.938402777777709,113714
Borås,1.3,3.4,2020,57.72441790123456,12.938402777777709,113714
Borgholm,,3.2,2016,56.88108333333337,16.658026666666657,10836
Borgholm,1.3,4.4,2020,56.88108333333337,16.658026666666657,10836
Borlänge,2.8,5.6,2016,60.48364558823525,15.431560294117636,52394
Borlänge,3.7,7.2,2020,60.48364558823525,15.431560294117636,52394
Botkyrka,3.9,6.8,2016,59.216769047619024,17.826766666666664,94847
Botkyrka,4.7,9.1,2020,59.216769047619024,17.826766666666664,94847
Botkyrka,4.7,9.1,2020,59.216769047619024,17.826766666666664,94847
Boxholm,4.4,6.5,2016,58.17235999999998,15.06845333333333,5441
Boxholm,,5.4,2020,58.17235999999998,15.06845333333333,5441
Bräcke,,4.5,2016,62.814,15.717516666666668,6181
Bräcke,,6.1,2020,62.814,15.717516666666668,6181
Bromölla,2.9,8.9,2016,56.09811428571429,14.456800000000005,12759
Bromölla,5.7,11.2,2020,56.09811428571429,14.456800000000005,12759
Burlöv,2.1,4.1,2016,55.63815789473686,13.081847368421052,19312
Burlöv,2.1,5.0,2020,55.63815789473686,13.081847368421052,19312
Dals-Ed,2.5,5.1,2016,58.91250000000001,11.9253,4761
Dals-Ed,3.4,8.8,2020,58.91250000000001,11.9253,4761
Danderyd,1.7,3.7,2016,59.39920847457627,18.045937288135583,32712
Danderyd,3.2,7.1,2020,59.39920847457627,18.045937288135583,32712
Danderyd,3.2,7.1,2020,59.39920847457627,18.045937288135583,32712
Degerfors,3.3,13.2,2016,59.20046190476192,14.465461904761908,9631
Degerfors,4.3,11.2,2020,59.20046190476192,14.465461904761908,9631
Dorotea,8.3,9.9,2016,64.34229411764706,16.307417647058823,2498
Dorotea,8.5,11.3,2020,64.34229411764706,16.307417647058823,2498
Eda,3.1,5.1,2016,59.8607,12.2582,8550
Eda,3.2,7.7,2020,59.8607,12.2582,8550
Ekerö,3.6,8.3,2016,59.313377500000016,17.785189999999993,28879
Ekerö,5.6,9.1,2020,59.313377500000016,17.785189999999993,28879
Ekerö,5.6,9.1,2020,59.313377500000016,17.785189999999993,28879
Eksjö,1.8,4.5,2016,57.64966129032259,15.069729032258063,17788
Eksjö,1.5,4.8,2020,57.64966129032259,15.069729032258063,17788
Emmaboda,,2.4,2016,56.64527894736843,15.51745789473684,9360
Emmaboda,,1.8,2020,56.64527894736843,15.51745789473684,9360
Enköping,4.5,9.0,2016,59.645668253968296,17.10089841269843,46240
Enköping,4.5,8.8,2020,59.645668253968296,17.10089841269843,46240
